mode,perlbench,gcc,mcf,omnetpp,xalancbmk,x264,deepsjeng,leela,exchange2,xz
size02,1049,1322,1360,1466,1890,2045,2621,2776,3420,604
size02,1056,1353,1361,1467,1896,2053,2650,2853,3524,608
size02,1059,1357,1365,1478,1896,2060,2652,2875,3532,609
size04,1004,1116,1253,1588,1691,2215,2256,2992,494,934
size04,1008,1123,1255,1597,1694,2219,2265,3005,503,938
size04,1010,1127,1268,1598,1696,2226,2269,3011,504,945
size06,1017,1077,1257,1539,1647,2198,2320,3023,522,849
size06,1019,1090,1262,1566,1649,2231,2324,3026,529,850
size06,1037,1101,1277,1566,1663,2234,2370,3085,531,859
size08,1108,1219,1484,1973,1984,2851,435,781,883,988
size08,1111,1225,1484,1974,1985,2854,436,787,887,990
size08,1111,1232,1487,1982,1989,2854,436,789,892,991
size10,1004,1027,1104,1417,1519,2013,2093,2746,478,873
size10,1004,1028,1113,1419,1519,2014,2093,2746,478,874
size10,1008,1028,1113,1421,1520,2015,2094,2747,478,874
size12,1020,1185,1502,1528,2042,2087,2807,480,815,882
size12,1020,1188,1509,1529,2043,2097,2816,482,817,889
size12,1024,1189,1510,1530,2048,2102,2833,483,821,891
size14,1092,1312,1454,1954,2015,2643,477,803,891,965
size14,1095,1312,1455,1956,2015,2646,477,803,892,966
size14,1095,1314,1456,1959,2023,2679,478,803,892,972
size16,1070,1139,1379,1836,1873,2670,415,774,868,916
size16,1078,1149,1384,1863,1893,2672,419,777,871,917
size16,1080,1150,1385,1863,1898,2676,419,780,880,920
block,1041,1771,1937,2211,2323,3161,3190,4251,4473,5219
block,1065,1780,1966,2212,2325,3182,3210,4294,4483,5261
block,1077,1788,1981,2235,2338,3186,3212,4305,4497,5264
