benchmark,all,complete,incomplete
500.perlbench,2595,236,874
502.gcc,12950,1899,3982
503.bwaves,18,8,8
505.mcf,47,13,25
507.cactuBSSN,2693,431,497
508.namd,133,27,38
510.parest,18160,884,1214
511.povray,1643,222,406
519.lbm,27,10,10
520.omnetpp,6425,844,1277
521.wrf,7220,1216,559
523.xalancbmk,14126,1325,1841
525.x264,567,178,170
526.blender,39237,2390,1392
527.cam4,4010,361,816
531.deepsjeng,119,52,36
538.imagick,2212,74,255
541.leela,349,121,82
544.nab,274,18,53
548.exchange2,23,10,11
549.fotonik3d,99,14,31
554.roms,316,52,84
557.xz,402,61,100
600.perlbench,2595,236,874
602.gcc,12950,1945,3997
603.bwaves,47,10,34
605.mcf,47,13,25
607.cactuBSSN,2772,443,501
619.lbm,34,10,13
620.omnetpp,6426,844,1277
621.wrf,7363,1220,609
623.xalancbmk,14126,1325,1841
625.x264,567,178,170
627.cam4,4206,373,985
628.pop2,3461,265,897
631.deepsjeng,119,52,36
638.imagick,2381,84,320
641.leela,350,121,82
644.nab,278,18,58
648.exchange2,23,10,11
649.fotonik3d,130,20,51
654.roms,343,48,115
657.xz,405,62,105
