benchmark,dataset,count
automotive_bitcount,max,27
automotive_bitcount,1,14
automotive_bitcount,2,14
automotive_bitcount,3,14
automotive_bitcount,4,14
automotive_bitcount,5,14
automotive_bitcount,6,14
automotive_bitcount,7,14
automotive_bitcount,8,14
automotive_bitcount,9,14
automotive_bitcount,10,14
automotive_bitcount,11,14
automotive_bitcount,12,14
automotive_bitcount,13,14
automotive_bitcount,14,14
automotive_bitcount,15,14
automotive_bitcount,16,14
automotive_bitcount,17,14
automotive_bitcount,18,14
automotive_bitcount,19,14
automotive_bitcount,20,14
automotive_qsort1,max,11
automotive_qsort1,1,9
automotive_qsort1,2,9
automotive_qsort1,3,9
automotive_qsort1,4,9
automotive_qsort1,5,9
automotive_qsort1,6,9
automotive_qsort1,7,9
automotive_qsort1,8,9
automotive_qsort1,9,9
automotive_qsort1,10,9
automotive_qsort1,11,9
automotive_qsort1,12,9
automotive_qsort1,13,9
automotive_qsort1,14,9
automotive_qsort1,15,9
automotive_qsort1,16,9
automotive_qsort1,17,9
automotive_qsort1,18,9
automotive_qsort1,19,9
automotive_qsort1,20,9
automotive_susan_c,max,28
automotive_susan_c,1,13
automotive_susan_c,2,13
automotive_susan_c,3,13
automotive_susan_c,4,13
automotive_susan_c,5,13
automotive_susan_c,6,13
automotive_susan_c,7,13
automotive_susan_c,8,13
automotive_susan_c,9,13
automotive_susan_c,10,13
automotive_susan_c,11,13
automotive_susan_c,12,13
automotive_susan_c,13,13
automotive_susan_c,14,13
automotive_susan_c,15,13
automotive_susan_c,16,13
automotive_susan_c,17,13
automotive_susan_c,18,13
automotive_susan_c,19,13
automotive_susan_c,20,13
automotive_susan_e,max,28
automotive_susan_e,1,14
automotive_susan_e,2,14
automotive_susan_e,3,14
automotive_susan_e,4,14
automotive_susan_e,5,14
automotive_susan_e,6,14
automotive_susan_e,7,14
automotive_susan_e,8,14
automotive_susan_e,9,14
automotive_susan_e,10,14
automotive_susan_e,11,14
automotive_susan_e,12,14
automotive_susan_e,13,14
automotive_susan_e,14,14
automotive_susan_e,15,14
automotive_susan_e,16,14
automotive_susan_e,17,14
automotive_susan_e,18,14
automotive_susan_e,19,14
automotive_susan_e,20,14
automotive_susan_s,max,28
