benchmark,dataset,count
automotive_bitcount,max,690
automotive_bitcount,1,312
automotive_bitcount,2,312
automotive_bitcount,3,312
automotive_bitcount,4,312
automotive_bitcount,5,312
automotive_bitcount,6,312
automotive_bitcount,7,312
automotive_bitcount,8,312
automotive_bitcount,9,312
automotive_bitcount,10,312
automotive_bitcount,11,312
automotive_bitcount,12,312
automotive_bitcount,13,312
automotive_bitcount,14,312
automotive_bitcount,15,312
automotive_bitcount,16,312
automotive_bitcount,17,312
automotive_bitcount,18,312
automotive_bitcount,19,312
automotive_bitcount,20,312
automotive_qsort1,max,549
automotive_qsort1,1,444
automotive_qsort1,2,444
automotive_qsort1,3,444
automotive_qsort1,4,444
automotive_qsort1,5,444
automotive_qsort1,6,444
automotive_qsort1,7,444
automotive_qsort1,8,444
automotive_qsort1,9,444
automotive_qsort1,10,444
automotive_qsort1,11,444
automotive_qsort1,12,444
automotive_qsort1,13,444
automotive_qsort1,14,444
automotive_qsort1,15,444
automotive_qsort1,16,444
automotive_qsort1,17,444
automotive_qsort1,18,444
automotive_qsort1,19,444
automotive_qsort1,20,444
automotive_susan_c,max,5785
automotive_susan_c,1,1329
automotive_susan_c,2,1329
automotive_susan_c,3,1329
automotive_susan_c,4,1329
automotive_susan_c,5,1329
automotive_susan_c,6,1329
automotive_susan_c,7,1329
automotive_susan_c,8,1329
automotive_susan_c,9,1329
automotive_susan_c,10,1329
automotive_susan_c,11,1329
automotive_susan_c,12,1329
automotive_susan_c,13,1329
automotive_susan_c,14,1329
automotive_susan_c,15,1329
automotive_susan_c,16,1329
automotive_susan_c,17,1329
automotive_susan_c,18,1329
automotive_susan_c,19,1329
automotive_susan_c,20,1329
automotive_susan_e,max,5785
automotive_susan_e,1,2195
automotive_susan_e,2,2195
automotive_susan_e,3,2195
automotive_susan_e,4,2196
automotive_susan_e,5,2196
automotive_susan_e,6,2196
automotive_susan_e,7,2196
automotive_susan_e,8,2196
automotive_susan_e,9,2196
automotive_susan_e,10,2196
automotive_susan_e,11,2196
automotive_susan_e,12,2196
automotive_susan_e,13,2196
automotive_susan_e,14,2196
automotive_susan_e,15,2196
automotive_susan_e,16,2196
automotive_susan_e,17,2196
automotive_susan_e,18,2196
automotive_susan_e,19,2196
automotive_susan_e,20,2196
automotive_susan_s,max,5785
automotive_susan_s,1,704
automotive_susan_s,2,759
automotive_susan_s,3,759
automotive_susan_s,4,759
automotive_susan_s,5,759
automotive_susan_s,6,759
automotive_susan_s,7,759
automotive_susan_s,8,759
automotive_susan_s,9,759
automotive_susan_s,10,759
automotive_susan_s,11,759
automotive_susan_s,12,759
automotive_susan_s,13,759
automotive_susan_s,14,759
automotive_susan_s,15,759
automotive_susan_s,16,759
automotive_susan_s,17,759
automotive_susan_s,18,759
automotive_susan_s,19,759
automotive_susan_s,20,759
bzip2d,max,14978
bzip2d,1,3425
bzip2d,2,3425
bzip2d,3,3494
bzip2d,4,9656
bzip2d,5,9662
bzip2d,6,9678
bzip2d,7,9713
bzip2d,8,9763
bzip2d,9,10359
bzip2d,10,10359
bzip2d,11,10359
bzip2d,12,10359
bzip2d,13,10359
bzip2d,14,10359
bzip2d,15,10359
bzip2d,16,10359
bzip2d,17,10359
bzip2d,18,10359
bzip2d,19,10359
bzip2d,20,10359
bzip2d,21,10359
bzip2d,22,10359
bzip2d,23,10359
bzip2d,24,10359
bzip2d,25,10359
bzip2d,26,10359
bzip2d,27,10359
bzip2d,28,10359
bzip2d,29,10359
bzip2d,30,10359
bzip2d,31,10359
bzip2d,32,10359
bzip2e,max,14978
bzip2e,1,6605
bzip2e,2,6605
bzip2e,3,6783
bzip2e,4,6813
bzip2e,5,6813
bzip2e,6,6813
bzip2e,7,6814
bzip2e,8,6849
bzip2e,9,7445
bzip2e,10,7445
bzip2e,11,7445
bzip2e,12,7462
bzip2e,13,7462
bzip2e,14,7462
bzip2e,15,7462
bzip2e,16,7462
bzip2e,17,7462
bzip2e,18,7462
bzip2e,19,7462
bzip2e,20,7462
bzip2e,21,7462
bzip2e,22,7462
bzip2e,23,7462
bzip2e,24,7462
bzip2e,25,7462
bzip2e,26,7462
bzip2e,27,7462
bzip2e,28,7462
bzip2e,29,7462
bzip2e,30,7462
bzip2e,31,7462
bzip2e,32,7464
consumer_jpeg_c,max,29647
consumer_jpeg_c,1,5922
consumer_jpeg_c,2,6008
consumer_jpeg_c,3,6320
consumer_jpeg_c,4,6332
consumer_jpeg_c,5,6332
consumer_jpeg_c,6,6332
consumer_jpeg_c,7,6332
consumer_jpeg_c,8,6332
consumer_jpeg_c,9,6348
consumer_jpeg_c,10,6348
consumer_jpeg_c,11,6351
consumer_jpeg_c,12,6351
consumer_jpeg_c,13,6355
consumer_jpeg_c,14,6355
consumer_jpeg_c,15,6359
consumer_jpeg_c,16,6359
consumer_jpeg_c,17,6359
consumer_jpeg_c,18,6359
consumer_jpeg_c,19,6359
consumer_jpeg_c,20,6359
consumer_jpeg_d,max,28453
consumer_jpeg_d,1,4952
consumer_jpeg_d,2,5002
consumer_jpeg_d,3,5003
consumer_jpeg_d,4,5224
consumer_jpeg_d,5,5225
consumer_jpeg_d,6,5225
consumer_jpeg_d,7,5235
consumer_jpeg_d,8,5235
consumer_jpeg_d,9,6388
consumer_jpeg_d,10,6390
consumer_jpeg_d,11,6460
consumer_jpeg_d,12,6460
consumer_jpeg_d,13,6460
consumer_jpeg_d,14,6745
consumer_jpeg_d,15,6745
consumer_jpeg_d,16,6745
consumer_jpeg_d,17,6745
consumer_jpeg_d,18,6745
consumer_jpeg_d,19,6745
consumer_jpeg_d,20,6745
consumer_lame,max,25583
consumer_lame,1,10339
consumer_lame,2,11153
consumer_lame,3,11153
consumer_lame,4,11163
consumer_lame,5,11163
consumer_lame,6,11163
consumer_lame,7,11163
consumer_lame,8,11163
consumer_lame,9,11224
consumer_lame,10,11224
consumer_lame,11,11224
consumer_lame,12,11224
consumer_lame,13,11224
consumer_lame,14,11224
consumer_lame,15,11224
consumer_lame,16,11224
consumer_lame,17,11224
consumer_lame,18,11224
consumer_lame,19,11224
consumer_lame,20,11224
consumer_mad,max,27237
consumer_mad,1,6793
consumer_mad,2,7258
consumer_mad,3,7268
consumer_mad,4,7294
consumer_mad,5,7294
consumer_mad,6,7294
