benchmark,cfgsT,cfgsM,instrsM,blocksM,phantomsM,edgesM,callsM,cfgsS,instrsS,blocksS,phantomsS,edgesS,callsS,cfgsD,instrsD,blocksD,phantomsD,edgesD,callsD
automotive_bitcount,27,3,108,25,0,38,7,1,38,13,0,16,4,11,204,33,7,56,11
automotive_qsort1,11,4,367,82,0,127,14,0,32,15,0,16,7,5,77,20,8,31,8
automotive_susan_c,28,9,1261,182,0,303,36,12,4283,483,0,744,77,4,68,19,23,29,5
automotive_susan_e,28,10,2128,209,0,324,36,11,3416,456,0,723,77,4,68,19,24,30,5
automotive_susan_s,28,10,691,118,0,178,38,11,4853,547,0,869,75,4,68,17,23,27,4
bzip2d,81,38,10284,1814,0,2939,124,21,3644,1175,0,1635,281,6,75,99,300,159,19
bzip2e,81,27,7389,1219,0,1969,89,32,6539,1770,0,2605,316,6,75,85,169,142,15
consumer_jpeg_c,337,64,2853,639,0,1028,91,40,4966,1193,0,1719,139,56,3506,715,259,1131,203
consumer_jpeg_d,323,59,2772,567,0,904,84,50,6106,1516,0,2204,155,54,3973,809,320,1323,174
consumer_lame,205,94,11093,2048,0,3183,305,49,12277,2306,0,3189,659,6,131,160,265,260,24
consumer_mad,275,63,5747,800,0,1256,159,114,10233,2764,0,4081,650,17,1592,305,225,464,88
consumer_tiff2bw,320,62,2865,723,0,1170,159,49,8837,2388,0,3428,500,32,1300,354,340,596,88
consumer_tiff2rgba,320,75,3275,810,0,1300,185,40,8758,2365,0,3361,523,34,1701,412,389,693,103
consumer_tiffdither,320,65,4162,1053,0,1691,172,46,7375,2030,0,2861,472,38,1371,372,351,621,106
consumer_tiffmedian,322,64,4078,992,0,1597,187,49,8840,2371,0,3392,491,21,788,237,323,399,74
network_dijkstra,13,6,280,70,0,102,26,0,34,10,0,11,8,4,68,15,7,24,4
network_patricia,13,6,368,80,0,118,27,0,114,34,0,41,18,4,68,17,14,26,5
office_ghostscript,3488,592,34258,6752,0,10815,964,426,48360,11453,0,16654,1972,735,22760,5406,1969,8693,2414
office_ispell,119,54,5703,1145,0,1740,266,57,7786,2159,0,2906,743,4,71,58,170,74,7
office_rsynth,56,38,3580,716,0,1084,199,5,1227,388,0,495,129,6,157,62,95,94,19
office_stringsearch1,18,4,414,104,0,148,35,0,41,12,0,13,10,4,68,15,8,24,4
security_blowfish_d,15,5,580,69,0,103,19,0,318,23,0,27,8,4,68,17,11,26,4
security_blowfish_e,15,5,580,70,0,103,19,0,318,22,0,27,8,4,68,16,10,25,4
security_pgp_d,327,95,6061,1154,0,1800,329,206,28250,8493,0,11450,3578,6,395,167,299,261,24
security_pgp_e,327,120,7139,1403,0,2135,412,181,27172,8244,0,11115,3495,4,68,93,249,141,11
security_rijndael_d,15,6,1216,75,0,116,17,3,1129,102,0,131,29,4,68,19,21,28,5
security_rijndael_e,15,7,1195,93,0,139,24,2,1150,84,0,108,22,4,68,18,19,27,4
security_sha,15,8,473,69,0,104,19,0,57,24,0,30,5,4,68,20,13,32,4
telecom_CRC32,12,4,128,26,0,40,10,0,21,12,0,13,3,4,68,17,6,26,4
telecom_adpcm_c,10,3,160,37,0,56,6,0,17,6,0,7,4,4,68,15,5,24,4
telecom_adpcm_d,10,3,147,30,0,45,6,0,18,7,0,8,4,4,68,15,6,24,4
telecom_gsm,76,30,2983,434,0,690,56,11,1642,383,0,508,146,8,218,82,104,125,28
