benchmark,cfgsT,cfgsM,instrsM,blocksM,phantomsM,edgesM,callsM,cfgsS,instrsS,blocksS,phantomsS,edgesS,callsS,cfgsD,instrsD,blocksD,phantomsD,edgesD,callsD
automotive_bitcount,27,14,300,55,0,88,10,13,289,68,0,104,15,0,12,3,7,6,8
automotive_qsort1,11,9,432,98,0,151,17,2,62,24,0,32,9,0,12,4,8,7,5
automotive_susan_c,28,13,1317,195,0,322,39,15,4315,493,0,762,80,0,12,6,23,10,2
automotive_susan_e,28,14,2184,222,0,343,39,14,3448,466,0,741,80,0,12,6,24,11,2
automotive_susan_s,28,14,747,131,0,197,41,14,4885,557,0,887,78,0,12,4,23,8,1
bzip2d,81,44,10347,1830,0,2964,129,37,4119,1308,0,1840,317,0,12,83,300,134,14
bzip2e,81,33,7452,1235,0,1994,94,48,7014,1903,0,2810,352,0,12,69,169,117,10
consumer_jpeg_c,337,120,6347,1324,0,2109,214,217,22183,4700,0,6943,404,0,12,30,259,50,80
consumer_jpeg_d,323,113,6733,1322,0,2136,146,210,20640,4425,0,6497,484,0,12,54,320,91,112
consumer_lame,205,100,11212,2077,0,3232,317,105,13652,2584,0,3606,733,0,12,131,265,211,12
consumer_mad,275,80,7327,1074,0,1677,228,195,18499,4681,0,6891,855,0,12,31,225,43,19
consumer_tiff2bw,320,94,4153,1001,0,1663,183,226,27307,6336,0,9201,1057,0,12,76,340,103,64
consumer_tiff2rgba,320,109,4964,1137,0,1876,222,211,26482,6210,0,8982,1037,0,12,85,389,117,66
consumer_tiffdither,320,103,5521,1348,0,2205,214,217,25774,5961,0,8613,1011,0,12,77,351,107,64
consumer_tiffmedian,322,85,4854,1156,0,1896,205,237,27822,6433,0,9359,1054,0,12,73,323,100,56
network_dijkstra,13,10,336,83,0,121,29,3,66,20,0,29,10,0,12,2,7,5,1
network_patricia,13,10,424,93,0,137,30,3,150,46,0,62,20,0,12,4,14,7,2
office_ghostscript,3488,1327,57006,11755,0,18929,1955,2161,132787,29458,0,43357,5185,0,12,403,1969,579,1423
office_ispell,119,58,5762,1157,0,1758,269,61,7832,2169,0,2923,746,0,12,46,170,56,4
office_rsynth,56,44,3725,755,0,1145,210,12,1687,509,0,669,178,0,12,23,95,33,8
office_stringsearch1,18,8,470,117,0,167,38,10,457,108,0,164,24,0,12,2,8,5,1
security_blowfish_d,15,9,636,82,0,122,22,6,983,94,0,136,16,0,12,4,11,7,1
security_blowfish_e,15,9,636,83,0,122,22,6,983,93,0,136,16,0,12,3,10,6,1
security_pgp_d,327,101,6444,1243,0,1944,345,226,27557,8348,0,11256,3516,0,12,78,299,117,8
security_pgp_e,327,124,7195,1416,0,2156,417,203,26806,8175,0,11044,3444,0,12,80,249,120,6
security_rijndael_d,15,10,1272,88,0,135,20,5,1159,111,0,147,31,0,12,6,21,9,2
security_rijndael_e,15,11,1251,106,0,158,27,4,1180,93,0,124,24,0,12,5,19,8,1
security_sha,15,12,529,82,0,123,22,3,98,34,0,48,7,0,12,7,13,13,1
telecom_CRC32,12,8,184,39,0,59,13,4,74,27,0,39,5,0,12,4,6,7,1
telecom_adpcm_c,10,7,216,50,0,75,9,3,128,29,0,44,6,0,12,2,5,5,1
telecom_adpcm_d,10,7,203,43,0,64,9,3,140,36,0,55,6,0,12,2,6,5,1
telecom_gsm,76,38,3189,493,0,778,79,38,3573,576,0,786,211,0,12,23,104,37,5
