benchmark,cfgsT,cfgsM,instrsM,blocksM,phantomsM,edgesM,callsM,cfgsS,instrsS,blocksS,phantomsS,edgesS,callsS,cfgsD,instrsD,blocksD,phantomsD,edgesD,callsD
500.perlbench_r,2595,777,73574,19083,0,31098,3353,521,247584,73136,0,109086,58498,333,28158,7355,5243,11785,2059
502.gcc_r,12950,4396,392353,105178,0,167988,23748,3220,899620,293861,0,434768,889827,1485,136183,38587,23217,60641,12962
503.bwaves_r,18,12,6386,560,0,805,193,0,215,56,0,76,16,4,68,56,18,88,11
505.mcf_r,47,32,2947,584,0,897,100,1,660,242,0,321,25,6,86,41,62,63,65
507.cactuBSSN_r,2693,678,47816,9242,0,13481,3644,364,391486,89908,0,138040,13063,250,99004,22948,2537,28634,13572
508.namd_r,133,47,4962,773,0,1144,260,8,1692,430,0,657,209,18,22052,2378,356,3629,208
510.parest_r,18160,1310,109331,21148,0,31379,6184,2509,436143,106912,0,163895,54786,788,36172,8545,3826,12492,5016
511.povray_r,1643,523,31760,7160,0,11023,2103,436,105848,22895,0,33002,19999,105,5445,1486,1444,2196,733
519.lbm_r,27,16,1026,108,0,166,30,4,1100,100,0,132,41,4,68,18,17,30,7
520.omnetpp_r,6425,785,37218,8717,0,13178,2468,653,89308,25711,0,36986,10316,1336,34272,8373,2445,11982,6119
521.wrf_r,7220,1751,619544,69863,0,105333,23361,2230,2747852,372008,0,529364,288616,24,7876,7085,13215,10445,1923
523.xalancbmk_r,14126,1908,91550,20007,0,30327,4294,2639,450166,123339,0,184063,31802,1258,29792,8265,4862,12463,6476
525.x264_r,567,220,41756,6597,0,10168,969,93,43562,8031,0,11232,1942,128,7478,1501,1159,2456,562
526.blender_r,39237,1990,99423,22829,0,33854,8198,7152,752683,176994,0,260762,76354,1792,46604,8043,4076,11601,7381
527.cam4_r,4010,1154,253923,35880,0,52888,12384,1349,597810,106309,0,147310,49430,23,2032,1705,5790,2782,310
531.deepsjeng_r,119,82,12046,2644,0,4046,457,10,2490,731,0,1032,269,6,114,65,139,101,17
538.imagick_r,2212,311,15376,3776,0,5837,1264,812,271673,61441,0,87467,20730,18,1441,522,1126,799,237
541.leela_r,349,187,17853,3277,0,4993,736,68,28763,7924,0,11657,2014,16,549,800,672,1291,99
544.nab_r,274,67,9241,1654,0,2517,464,78,15635,3641,0,5256,910,4,68,84,327,131,23
548.exchange2_r,23,17,13964,2493,0,3921,103,0,451,158,0,195,30,4,68,67,71,102,9
549.fotonik3d_r,99,41,32319,3225,0,5073,729,17,32981,5093,0,6940,1767,4,68,186,623,354,7
554.roms_r,316,131,84828,7510,0,11307,2196,50,40316,6550,0,8833,2385,5,182,429,888,774,39
557.xz_r,402,116,9062,1485,0,2366,216,77,6551,1798,0,2483,570,45,5732,1161,285,1783,156
600.perlbench_s,2595,777,73574,19083,0,31098,3353,518,247350,73077,0,109001,58361,333,28158,7355,5243,11785,2059
602.gcc_s,12950,4439,402842,108157,0,172524,24563,3177,889131,290882,0,430232,889012,1503,138586,39262,23331,61653,13191
603.bwaves_s,47,40,10719,789,0,1106,341,1,322,74,0,89,15,4,68,21,42,34,5
605.mcf_s,47,32,2947,589,0,902,101,1,660,237,0,316,24,6,86,39,61,60,64
607.cactuBSSN_s,2772,693,71071,9522,0,13923,3712,418,450199,90823,0,139317,13289,251,75048,22867,2553,28579,13596
619.lbm_s,34,19,1129,132,0,198,45,7,1226,130,0,171,56,4,68,18,20,30,7
620.omnetpp_s,6426,785,36753,8342,0,12694,2365,653,89773,26087,0,37471,10419,1336,33819,8854,2445,12997,6222
621.wrf_s,7363,1805,630030,70225,0,105825,23602,2320,2766684,373846,0,531308,309605,24,7951,7096,13285,10448,1939
623.xalancbmk_s,14126,1908,91550,20007,0,30327,4294,2639,450166,123339,0,184063,31802,1258,29792,8265,4862,12463,6476
625.x264_s,567,220,41756,6597,0,10168,969,93,43562,8031,0,11232,1942,128,7478,1501,1159,2456,562
627.cam4_s,4206,1335,315904,44832,0,66724,14207,1390,593225,105436,0,145352,49826,23,2032,1996,6625,3289,333
628.pop2_s,3461,1130,263190,43747,0,63042,16464,1006,455492,84334,0,115524,43588,32,12017,4591,7163,6901,1218
631.deepsjeng_s,119,82,12168,2669,0,4079,467,10,2368,706,0,999,259,6,114,65,133,101,17
638.imagick_s,2381,386,26677,5532,0,8507,1837,909,270661,62347,0,88186,22126,18,1813,733,1591,1116,324
641.leela_s,350,187,17730,3190,0,4883,713,68,28886,8011,0,11767,2037,16,546,905,672,1479,122
644.nab_s,278,72,10718,1871,0,2829,541,78,14542,3559,0,5120,910,4,68,88,348,137,23
648.exchange2_s,23,17,13964,2493,0,3921,103,0,451,158,0,195,30,4,68,67,71,102,9
649.fotonik3d_s,130,67,35299,3495,0,5460,863,22,33916,5352,0,7276,1792,4,68,229,718,442,7
654.roms_s,343,158,85797,7690,0,11540,2322,50,40811,6604,0,8909,2404,5,182,432,919,775,47
657.xz_s,405,122,9394,1554,0,2467,245,76,6702,1844,0,2533,600,45,5774,1175,297,1802,156
