benchmark,cfgsT,cfgsM,instrsM,blocksM,phantomsM,edgesM,callsM,cfgsS,instrsS,blocksS,phantomsS,edgesS,callsS,cfgsD,instrsD,blocksD,phantomsD,edgesD,callsD
500.perlbench_r,2595,1110,101720,25623,0,41591,4872,1485,298604,86280,0,126621,23153,0,12,815,5243,1292,540
502.gcc_r,12950,5881,528460,140607,0,223756,33877,7069,1048594,336190,0,491690,104976,0,76,3158,23217,4873,2833
503.bwaves_r,18,16,6442,573,0,824,196,2,245,65,0,92,18,0,12,43,18,69,8
505.mcf_r,47,38,3021,603,0,926,103,9,982,317,0,438,37,0,12,22,62,34,62
507.cactuBSSN_r,2693,928,146808,31578,0,41280,16712,1765,583380,125404,0,186104,21636,0,12,612,2537,835,504
508.namd_r,133,65,27002,3030,0,4560,452,68,157642,16880,0,24989,1779,0,12,121,356,213,16
510.parest_r,18160,2098,145491,29225,0,43139,9321,16062,1335747,298193,0,457994,93964,0,12,468,3826,732,1879
511.povray_r,1643,628,37193,8378,0,12818,2644,1015,127486,26432,0,38382,8063,0,12,268,1444,401,192
519.lbm_r,27,20,1082,121,0,187,35,7,1379,101,0,137,37,0,12,5,17,9,2
520.omnetpp_r,6425,2121,71478,16710,0,24602,6067,4304,238558,65645,0,94947,24420,0,12,380,2445,558,2520
521.wrf_r,7220,1775,627408,71285,0,107283,24193,5445,2566886,333719,0,487712,88806,0,12,5663,13215,8495,1091
523.xalancbmk_r,14126,3166,121330,27591,0,41805,6847,10960,729021,201553,0,301928,49548,0,12,681,4862,985,3923
525.x264_r,567,348,49222,7624,0,11860,1023,219,47458,8687,0,12125,1528,0,12,474,1159,764,508
526.blender_r,39237,3782,146009,30188,0,44460,12669,35454,1431820,344520,0,511299,88342,0,18,684,4076,995,2910
527.cam4_r,4010,1177,255943,36269,0,53523,12521,2833,779959,137255,0,191658,49337,0,12,1316,5790,2147,173
531.deepsjeng_r,119,88,12148,2665,0,4083,468,31,3211,900,0,1277,226,0,12,44,139,64,6
538.imagick_r,2212,329,16805,4163,0,6445,1418,1883,356816,85686,0,120629,29835,0,12,135,1126,191,83
541.leela_r,349,203,18390,3406,0,5177,817,146,35961,9464,0,14054,2445,0,12,671,672,1107,18
544.nab_r,274,71,9297,1667,0,2538,469,203,23524,5906,0,8590,1562,0,12,71,327,110,18
548.exchange2_r,23,21,14020,2506,0,3940,106,2,481,167,0,211,32,0,12,54,71,83,6
549.fotonik3d_r,99,45,32375,3238,0,5092,732,54,34425,5347,0,7239,1975,0,12,173,623,335,4
554.roms_r,316,136,84998,7533,0,11361,2217,180,59865,9279,0,12993,2778,0,12,406,888,720,18
557.xz_r,402,161,14782,2574,0,4045,323,241,12520,3229,0,4592,977,0,12,72,285,104,49
600.perlbench_s,2595,1110,101720,25623,0,41591,4872,1485,298604,86280,0,126621,23153,0,12,815,5243,1292,540
602.gcc_s,12950,5942,541350,144313,0,229375,34901,7008,1035704,332484,0,486071,103952,0,78,3106,23331,4802,2853
603.bwaves_s,47,44,10775,802,0,1125,344,3,352,83,0,105,17,0,12,8,42,15,2
605.mcf_s,47,38,3021,608,0,931,104,9,982,312,0,433,36,0,12,20,61,31,61
607.cactuBSSN_s,2772,944,146107,31537,0,41236,16755,1827,586792,126133,0,187010,22002,0,12,852,2553,1266,553
619.lbm_s,34,23,1185,145,0,219,50,11,1548,140,0,188,57,0,12,5,20,9,2
620.omnetpp_s,6426,2121,70560,15949,0,23615,5852,4304,239476,66406,0,95934,24635,0,12,1247,2445,2076,2735
621.wrf_s,7363,1829,637969,71646,0,107773,24433,5534,2584122,336005,0,490268,89485,0,12,5675,13285,8500,1108
623.xalancbmk_s,14126,3166,121330,27591,0,41805,6847,10960,729021,201553,0,301928,49548,0,12,681,4862,985,3923
625.x264_s,567,348,49222,7624,0,11860,1023,219,47458,8687,0,12125,1528,0,12,474,1159,764,508
627.cam4_s,4206,1358,317924,45221,0,67359,14344,2848,756924,133258,0,184891,49149,0,12,1607,6625,2654,196
628.pop2_s,3461,1162,275195,45754,0,65875,17441,2299,587099,107103,0,148462,37291,0,12,2584,7163,4068,241
631.deepsjeng_s,119,88,12270,2690,0,4116,478,31,3089,875,0,1244,216,0,12,44,133,64,6
638.imagick_s,2381,404,28478,6053,0,9318,2059,1977,363711,87781,0,123180,31255,0,12,212,1591,305,102
641.leela_s,350,203,18264,3316,0,5063,793,146,36087,9554,0,14168,2469,0,12,779,672,1299,42
644.nab_s,278,76,10774,1884,0,2850,546,202,23708,5935,0,8620,1568,0,12,75,348,116,18
648.exchange2_s,23,21,14020,2506,0,3940,106,2,481,167,0,211,32,0,12,54,71,83,6
649.fotonik3d_s,130,71,35355,3508,0,5479,866,59,35360,5606,0,7575,2000,0,12,216,718,423,4
654.roms_s,343,163,85967,7713,0,11594,2343,180,60170,9336,0,13072,2799,0,12,409,919,721,26
657.xz_s,405,167,15156,2658,0,4165,354,238,12580,3245,0,4600,999,0,12,71,297,104,47
