benchmark,executed,nulgrind,cfggrind
automotive_bitcount,735,21,182
automotive_qsort1,689,25,230
automotive_susan_c,588,12,40
automotive_susan_e,628,15,54
automotive_susan_s,885,18,140
bzip2d,554,12,73
bzip2e,602,13,67
consumer_jpeg_c,563,18,113
consumer_jpeg_d,577,28,86
consumer_lame,598,44,132
consumer_mad,792,17,72
consumer_tiff2bw,608,25,178
consumer_tiff2rgba,537,33,170
consumer_tiffdither,595,19,150
consumer_tiffmedian,640,24,130
network_dijkstra,462,12,117
network_patricia,224,9,114
office_ghostscript,710,27,211
office_ispell,745,30,205
office_rsynth,140,11,24
office_stringsearch1,456,47,147
security_blowfish_d,783,17,59
security_blowfish_e,768,18,77
security_pgp_d,546,25,115
security_pgp_e,824,25,102
security_rijndael_d,824,32,131
security_rijndael_e,826,32,142
security_sha,1169,19,97
telecom_CRC32,500,20,189
telecom_adpcm_c,497,14,111
telecom_adpcm_d,956,25,174
telecom_gsm,710,16,88
