benchmark,executed,nulgrind,cfggrind
500.perlbench,2674,1697,17924
502.gcc,1178,1053,8947
503.bwaves,7067,5123,22470
505.mcf,945,993,5031
507.cactuBSSN,1558,1609,2496
508.namd,2601,1868,2778
510.parest,3889,3774,12881
511.povray,3695,3118,17842
519.lbm,1659,1612,1951
520.omnetpp,1105,1462,9732
521.wrf,4829,4683,14211
523.xalancbmk,1404,1163,11033
525.x264,5014,1651,10215
526.blender,1877,1659,7443
527.cam4,2980,2638,11196
531.deepsjeng,1924,1095,10259
538.imagick,4693,5009,17435
541.leela,2639,1532,12103
544.nab,2246,1981,6791
548.exchange2,4796,1853,16521
549.fotonik3d,2453,1889,2942
554.roms,3058,2897,7467
557.xz,1978,1024,6760
600.perlbench,2674,1711,18167
602.gcc,2345,1895,16132
603.bwaves,97744,58203,373170
605.mcf,1679,2000,10019
607.cactuBSSN,12850,13674,20988
619.lbm,4940,5325,6258
620.omnetpp,1081,1375,9551
621.wrf,27795,30276,83793
623.xalancbmk,1404,1170,11142
625.x264,5014,1661,10232
627.cam4,19713,15358,79302
628.pop2,25530,27854,108212
631.deepsjeng,2245,1283,12382
638.imagick,74124,90852,240532
641.leela,2639,1538,12036
644.nab,22827,20771,72131
648.exchange2,4796,1856,17409
649.fotonik3d,7653,5707,10711
654.roms,25611,24531,69053
657.xz,8574,5479,29017
